#initial-angle1(-30.7)	initial-angle2(0)
#t	x1	y1	x2	y2	vx1	vy1	vx2	vy2
19.4	3.29E-02	1.32E-01	1.48E-01	-1.52E-01	5.11E-02	6.90E-04	2.62E-01	1.03E-01
19.5	3.80E-02	1.32E-01	1.71E-01	-1.42E-01	5.80E-02	7.59E-03	0.211	9.66E-02
19.6	4.45E-02	1.34E-01	1.90E-01	-1.32E-01	5.45E-02	1.52E-02	1.72E-01	7.66E-02
19.7	4.89E-02	1.35E-01	2.06E-01	-1.26E-01	5.25E-02	1.24E-02	1.35E-01	4.35E-02
19.8	5.49E-02	1.36E-01	2.17E-01	-1.24E-01	6.07E-02	9.66E-03	8.77E-02	1.38E-02
19.9	6.10E-02	1.37E-01	2.23E-01	-1.24E-01	5.73E-02	7.59E-03	4.35E-02	-4.14E-03
20	6.64E-02	1.38E-01	2.26E-01	-1.24E-01	4.56E-02	1.04E-02	-6.90E-04	-4.56E-02
20.1	7.01E-02	1.39E-01	2.23E-01	-1.33E-01	3.66E-02	1.10E-02	-4.62E-02	-6.70E-02
20.2	7.37E-02	1.40E-01	2.17E-01	-1.38E-01	3.52E-02	1.04E-02	-9.66E-02	-6.76E-02
20.3	7.72E-02	1.41E-01	2.04E-01	-1.46E-01	2.21E-02	7.59E-03	-0.146	-8.21E-02
20.4	7.81E-02	1.41E-01	1.87E-01	-1.54E-01	4.83E-03	2.07E-03	-2.00E-01	-8.08E-02
20.5	7.81E-02	1.41E-01	1.64E-01	-1.62E-01	-5.52E-03	-6.90E-04	-2.48E-01	-6.76E-02
20.6	7.70E-02	1.41E-01	1.38E-01	-1.68E-01	-1.79E-02	-3.45E-03	-2.79E-01	-5.56E-02
20.7	7.45E-02	1.41E-01	1.08E-01	-1.73E-01	-4.90E-02	-1.17E-02	-0.298	-4.41E-02
20.8	6.72E-02	1.39E-01	7.80E-02	-1.77E-01	-9.11E-02	-2.28E-02	-0.302	-1.35E-02
20.9	5.63E-02	1.36E-01	4.78E-02	-1.76E-01	-1.01E-01	-2.28E-02	-0.306	-4.20E-03
21	4.69E-02	1.34E-01	1.68E-02	-1.77E-01	-1.04E-01	-1.59E-02	-0.304	-3.45E-03
21.1	3.56E-02	1.33E-01	-1.31E-02	-1.77E-01	-1.33E-01	-1.45E-02	-0.288	2.76E-03
21.2	2.04E-02	1.31E-01	-4.07E-02	-1.77E-01	-1.52E-01	-8.28E-03	-0.275	1.73E-02
21.3	5.25E-03	1.31E-01	-6.82E-02	-1.73E-01	-1.57E-01	-6.90E-04	-0.247	3.04E-02
21.4	-1.09E-02	1.31E-01	-9.01E-02	-1.71E-01	-1.64E-01	1.10E-02	-2.27E-01	3.87E-02
